id,name,definition,synonyms
HP:0004993,Slender long bones with narrow diaphyses,Reduced diameter of a long bone with a more pronounced reduction of the diameter of the diaphysis of the long bones.,['Slender long bones with narrow shaft']
HP:0004997,Multicentric ossification of proximal humeral epiphyses,,[]
HP:0005001,Recurrent patellar dislocation,Patellar dislocation occurring repeated times.,['Recurrent dislocation of patellas']
HP:0005003,Aplasia/Hypoplasia of the capital femoral epiphysis,Absence or underdevelopment of the proximal epiphysis of the femur.,"['Absent/underdeveloped end part of innermost thighbone', 'Absent/small end part of innermost thighbone']"
HP:0005004,Flattened proximal radial epiphyses,An abnormally flat form of the proximal epiphysis of the radius.,[]
HP:0005005,"Femoral bowing present at birth, straightening with time",Congenital onset bending or abnormal curvature of the femur that normalizes with age.,"['Bowing of thighbone at birth, straightening with time']"
HP:0005008,Large joint dislocations,,['Large joint dislocations']
HP:0005009,Dumbbell-shaped humerus,The humerus is shortened and displays flaring (widening) of the metaphyses.,['Dumbbell-shaped long bone in upper arm']
HP:0005010,Osteomyelitis leading to amputation due to slow healing fractures,,[]
HP:0005011,Mesomelic arm shortening,Shortening of the middle parts of the arm in relation to the upper and terminal segments.,"['Upper limb brachymesomelia', 'Mesomelia of the upper limbs']"
HP:0005013,Dysplastic distal radial epiphyses,Abnormally developed (dysplastic) distal epiphysis of the radius.,[]
HP:0005017,Polyarticular chondrocalcinosis,,[]
HP:0005019,Diaphyseal undertubulation,"Tubulation refers to the size and shape of tubular bones. In children and adolescents, the modeling process regulates normal bone growth. Final shaft (tube) diameter depends on appositional bone growth and the equilibrium between periosteal and endosteal bone resorption and formation. Undertubulation refers to a broad, widened form of the shafts (diaphyses) of long bones.","['Undertubulated long bones', 'Thickening of shaft or central part of long bones', 'Diaphyseal widening', 'Undertubulation of diaphyses']"
HP:0005021,Bilateral elbow dislocations,,['Dislocated elbows on both sides']
HP:0005025,Hypoplastic distal humeri,Underdevelopment of the distal portion of the humerus.,[]
HP:0005026,Mesomelic/rhizomelic limb shortening,,[]
HP:0005028,Widened proximal tibial metaphyses,,"['Wide innermost wide portion of shinbone bone', 'Wide innermost wide portion of shankbone bone']"
HP:0005033,Distal ulnar hypoplasia,Underdevelopment of the distal portion of the ulna.,"['Hypoplastic distal ulna', 'Distal shortening of ulna']"
HP:0005035,Shortening of all phalanges of the toes,Developmental hypoplasia (shortening) of all phalanges of the foot.,['Short toe bones']
HP:0005036,Unilateral ulnar hypoplasia,Underdevelopment of the ulna on only one side.,[]
HP:0005037,Proximal radio-ulnar synostosis,An abnormal osseous union (fusion) between the proximal portions of the radius and the ulna.,[]
HP:0005039,Multiple long-bone exostoses,Multiple exostoses originating in long bones.,['Multiple exostoses of long tubular bones']
HP:0005041,Irregular capital femoral epiphysis,Irregular surface of the normally relatively smooth capital femoral epiphysis.,"['Irregular proximal femoral epiphyses', 'Irregular end part of innermost thighbone', 'Irregular capital femoral epiphyses']"
HP:0005042,"Irregular, rachitic-like metaphyses",,[]
HP:0005043,Proximal humeral metaphyseal irregularity,Irregularity of the normally smooth surface of the metaphysis at the proximal end of the humerus (at the shoulder).,['Irregular proximal humeral metaphyses']
HP:0005045,Diaphyseal cortical sclerosis,An elevation in bone density of the cortex of one or more diaphyses. Sclerosis is normally detected on a radiograph as an area of increased opacity.,[]
HP:0005048,Synostosis of carpal bones,,['Fusion of wrist bones']
HP:0005050,Anterolateral radial head dislocation,A dislocation of the head of the radius from its socket in the elbow joint in an anterolateral direction.,['Anterior/lateral radial head dislocation']
HP:0005054,Metaphyseal spurs,Bony outgrowths that extend laterally from the margin of the metaphysis.,[]
HP:0005059,Arthralgia/arthritis,,['Joint pain/Joint inflammation']
HP:0005060,Limited elbow flexion/extension,,[]
HP:0005063,"Fragmented, irregular epiphyses",,"['Fragmented, irregular end part of bone']"
HP:0005066,Cone-shaped epiphyses fused within their metaphyses,,['Cone-shaped end part of long bone fused within their wide portion of wide bone']
HP:0005067,Proximal fibular overgrowth,Overgrowth of the proximal part of the fibula.,['Overgrowth of innermost part of calf bone']
HP:0005068,Absent styloid process of ulna,,[]
HP:0005069,Rhizo-meso-acromelic limb shortening,,[]
HP:0005070,Proximal radial head dislocation,A dislocation of the head of the radius from its socket in the elbow joint in an proximal direction.,[]
HP:0005072,Wrist hypermobility,The ability of the wrist joints to move beyond their normal range of motion.,"['Increased wrist mobility', 'Hyperextensibility at wrists', 'Increased laxity of wrists']"
HP:0005084,Anterior radial head dislocation,A dislocation of the head of the radius from its socket in the elbow joint in an anterior direction.,['Anterior dislocation of radial head']
HP:0005085,Limited knee flexion/extension,A limited ability of the knee joint to perform extension and flexion.,[]
HP:0005086,Knee osteoarthritis,,[]
HP:0005089,Abnormal metaphyseal trabeculation,An abnormality of the pattern of trabecula (small interconnecting rods of bone) in a metaphyseal region of bone.,[]
HP:0005090,Lateral femoral bowing,A lateral bending or abnormal curvature of the femur.,[]
HP:0005092,Streaky metaphyseal sclerosis,The presence of streaks (bands) of abnormally increased density of metaphyseal bone.,['Streak increase in bone density in wide portion of wide bone']
HP:0005093,Absent proximal radial epiphyses,Absence of the proximal radial epiphysis.,[]
HP:0005096,Distal femoral bowing,A bending or abnormal curvature of the distal portion of the femur.,[]
HP:0005099,obsolete Severe hydrops fetalis,,['Severe hydrops']
HP:0005100,Premature birth following premature rupture of fetal membranes,,['Premature birth following premature rupture of foetal membranes']
HP:0005101,High-frequency hearing impairment,"A type of hearing impairment affecting primarily the higher frequencies of sound (3,000 to 6,000 Hz).","['Hearing loss, high-frequency', 'High frequency hearing loss', 'High-frequency deafness', 'Progressive high frequency hearing loss', 'Progressive high-frequency hearing loss']"
HP:0005102,Cochlear degeneration,Deterioration or loss of the tissues of the cochlea.,['Progressive cochlear degeneration']
HP:0005103,Calcification of the auricular cartilage,Ossification affecting the external ear cartilage.,"['Cartilaginous ossification of pinnae', 'Ear cartilage calcification', 'Ossification of pinnae', 'Petrified ear']"
HP:0005104,Hypoplastic nasal septum,Underdevelopment of the nasal septum.,"['Decreased size of septum of nose', 'Small nasal septum', 'Decreased size of nasal septum', 'Hypoplasia of septum of nose', 'Small septum of nose']"
HP:0005105,Abnormal nasal morphology,,"['Abnormal nose morphology', 'Abnormal of nasal shape', 'Abnormal of morphology of nose', 'Abnormal of shape of nose']"
HP:0005106,Abnormality of the vertebral endplates,"Any abnormality of the vertebral end plates, which are the top and bottom portions of the vertebral bodies that interface with the vertebral disks.",[]
HP:0005107,Abnormal sacrum morphology,An abnormality of the sacral bone.,['Abnormality of the sacrum']
HP:0005108,Abnormal intervertebral disk morphology,Any structural abnormality of the intervertebral disk.,"['Abnormality of the intervertebral disk', 'Abnormality of the intervertebral disc']"
HP:0005109,Abnormality of the Achilles tendon,An abnormality of the Achilles tendon.,"['Abnormality of the calcaneal tendon', 'Abnormality of the Achilles tendon']"
HP:0005110,Atrial fibrillation,"An atrial arrhythmia characterized by disorganized atrial activity without discrete P waves on the surface EKG, but instead by an undulating baseline or more sharply circumscribed atrial deflections of varying amplitude an frequency ranging from 350 to 600 per minute.",['Quivering upper heart chambers resulting in irregular heartbeat']
HP:0005111,obsolete Dilatation of the ascending aorta,,[]
HP:0005112,Abdominal aortic aneurysm,An abnormal localized widening (dilatation) of the abdominal aorta.,['Dilatation of the abdominal aorta']
HP:0005113,Aortic arch aneurysm,An abnormal localized widening (dilatation) of the aortic arch.,"['Aortic arch dilatation', 'Dilatation of the aortic arch']"
HP:0005114,obsolete Abnormalities of the peripheral arteries,,[]
HP:0005115,Supraventricular arrhythmia,"A type of arrhythmia that originates above the ventricles, whereby the electrical impulse propagates down the normal His Purkinje system similar to normal sinus rhythm.",['Supraventricular arrhythmias']
HP:0005116,Arterial tortuosity,"Abnormal tortuous (i.e., twisted) form of arteries.",[]
HP:0005117,Elevated diastolic blood pressure,Abnormal increase in diastolic blood pressure.,['Elevated diastolic BP']
HP:0005120,Abnormal cardiac atrium morphology,Any structural abnormality of a cardiac atrium.,"['Abnormality of cardiac atrium morphology', 'Abnormality of heart atrium']"
HP:0005121,Posterior scalloping of vertebral bodies,An excessive concavity of the posterior surface of one or more vertebral bodies.,['Posterior vertebral body scalloping']
HP:0005129,Congenital hypertrophy of left ventricle,,[]
HP:0005130,obsolete Restrictive heart failure,,[]
HP:0005132,Pericardial constriction,"Compression of the heart caused by rigid, thickened, or fused pericardial membranes.",[]
HP:0005133,Right ventricular dilatation,"Enlargement of the chamber of the right ventricle, which can be defined echocardiographically as a right ventricular to left ventricular ratio greater than 1:1.",['Dilated heart right ventricle']
HP:0005134,Absence of the pulmonary valve,Refers to the specific combination of defects with a severely dysplastic pulmonary valve and massively dilated branch pulmonary arteries.,['Absent pulmonary valve']
HP:0005135,Abnormal T-wave,"An abnormality of the T wave on the electrocardiogram, which mainly represents the repolarization of the ventricles.","['EKG: T-wave abnormalities', 'T-wave abnormalities']"
HP:0005136,Mitral annular calcification,Mitral annular calcification (MAC) results from progressive calcium deposition along and beneath the mitral valve annulus.,['Premature calcification of mitral annulus']
HP:0005141,obsolete Episodes of ventricular tachycardia,,[]
HP:0005143,Anomalous origin of right pulmonary artery from ascending aorta,The right pulmonary artery originates from the ascending aorta in the presence of a pulmonary valve and main pulmonary artery.,[]
HP:0005144,Ventricular septal hypertrophy,"The dividing wall between left and right sides of the heart, thickens and bulges into the left ventricle.",['Thickened interventricular septum']
HP:0005145,Coronary artery stenosis,Abnormal narrowing of the coronary artery.,['Narrowing of coronary artery']
HP:0005146,Cardiac valve calcification,Abnormal calcification of a cardiac valve.,['Calcifications of the cardiac valves']
HP:0005147,Bidirectional ventricular ectopy,,[]
HP:0005148,Pulmonary valve defects,Any defect in the valve connecting the heart and the pulmonary artery.,[]
HP:0005150,Abnormal atrioventricular conduction,An impairment of the electrical continuity between the atria and ventricles.,[]
HP:0005151,Preductal coarctation of the aorta,"Narrowing or constriction of the aorta localized proximal to the ductus arteriosus, i.e., to the preductal region of aortic arch.",['Proximal aortic coarctation']
HP:0005152,Histiocytoid cardiomyopathy,A type of cardiomyopathy characterized pathologically by hamartomatous lesions of cardiac Purkinje cells.,"['Arachnocytosis of the myocardium', 'Infantile xanthomatous cardiomyopathy', 'Oncocytic cardiomyopathy', 'Myocardial or conduction system hamartoma', 'Isolated cardiac lipidosis', 'Infantile cardiomyopathy with histiocytoid changes', 'Foamy myocardial transformation', 'Focal lipid cardiomyopathy']"
HP:0005155,Ventricular escape rhythm,"A ventricular escape rhythm occurs whenever higher-lever pacemakers in AV junction or sinus node fail to control ventricular activation. Escape rate is usually 20-40 bpm, often associated with broad QRS complexes (at least 120 ms).",['Idioventricular escape rhythm']
HP:0005156,Hypoplastic left atrium,"Underdeveloped, small left heart atrium","['Left atrium hypoplasia', 'Underdeveloped left heart atrium']"
HP:0005157,Concentric hypertrophic cardiomyopathy,Hypertrophic cardiomyopathy with an symmetrical and concentric pattern of hypertrophy.,"['Symmetric, concentric, hypertrophic cardiomyopathy']"
HP:0005160,Total anomalous pulmonary venous return,"Total anomalous pulmonary venous return refers to a congenital malformation in which all four pulmonary veins do not connect normally to the left atrium, but instead drain abnormally to the right atrium.","['TAPVD', 'Total anomalous pulmonary venous drainage', 'TAPVC', 'Total anomalous pulmonary venous connection', 'TAPVR']"
HP:0005162,Abnormal left ventricular function,Inability of the left ventricle to perform its normal physiologic function. Failure is either due to an inability to contract the left ventricle or the inability to relax completely and fill with blood during diastole.,"['Left-sided heart failure', 'Left ventricular dysfunction', 'Impaired left ventricular function', 'Left ventricular failure', 'Left ventricular impairment']"
HP:0005164,Dysplastic pulmonary valve,A congenital malformation of the pulmonary valve characterized by leaflet deformation.,"['Dysplasia of pulmonary valve', 'Pulmonary valve dysplasia']"
HP:0005165,Shortened PR interval,"Reduced time for the PR interval (beginning of the P wave to the beginning of the QRS complex). In adults, normal values are 120 to 200 ms long.","['Electrocardiographic short PR interval', 'Short P-R interval', 'Shortened PR interval on EKG']"
HP:0005168,Elevated right atrial pressure,An abnormal increase in magnitude of the pressure in the right atrium.,[]
HP:0005170,Complete heart block with broad QRS complexes,"A type of third degree heart block in which the escape rhythm arises at a relatively low part of the conduction system (below the atrioventricular node), which produces a wide QRS complex.",[]
HP:0005172,Left posterior fascicular block,Conduction block in the posterior division of the left bundle branch of the bundle of His.,['Left posterior hemiblock']
HP:0005173,obsolete Calcific aortic valve stenosis,,[]
HP:0005174,Membranous subvalvular aortic stenosis,Subvalvular stenosis is caused by a diaphragm-like membrane. The stenosis is clinically manifested like any other form of aortic stenosis but is often associated with some aortic insufficiency.,[]
HP:0005176,Dysplastic aortic valve,A congenital malformation of the aortic valve characterized by leaflet deformation.,[]
HP:0005177,Premature arteriosclerosis,Arteriosclerosis occurring at an age that is younger than usual.,['Premature hardening of arteries']
HP:0005178,Complete heart block with narrow QRS complexes,"A type of third degree heart block in which the escape rhythm arises at the atrioventricular node, which produces a narrow QRS complex.",[]
HP:0005180,Tricuspid regurgitation,"Failure of the tricuspid valve to close sufficiently upon contraction of the right ventricle, causing blood to regurgitate (flow backward) into the right atrium.","['Tricuspid insufficiency', 'Tricuspid valve regurgitation']"
HP:0005181,Premature coronary artery atherosclerosis,Reduction of the diameter of the coronary arteries as the result of an accumulation of atheromatous plaques within the walls of the coronary arteries before age of 45.,['Premature coronary artery disease']
HP:0005182,Bicuspid pulmonary valve,The presence of a bicuspid pulmonary valve.,[]
HP:0005183,Pericardial lymphangiectasia,An abnormal dilatation of lymph vessels in the pericardium.,[]
HP:0005184,Prolonged QTc interval,A longer than normal interval (corrected for heart rate) between the Q and T waves in the heart's cycle. Prolonged QTc can cause premature action potentials during late phase depolarizations thereby leading to ventricular arrhythmias and ventricular fibrillations.,[]
HP:0005185,Global systolic dysfunction,"A reduced ejection fraction and an enlarged left ventricle chamber, the latter by an increased resistance to filling with increased filling pressures. Systolic dysfunction is clinically associated with left ventricular failure in the presence of marked cardiomegaly.",[]
HP:0005186,Synovial lining hyperplasia,"Synovial hyperplasia involves proliferation of mesenchymal stromal/stem cells and leads to synovial thickening, which can be observed radiographically.","['Synovial hypertrophy', 'Synovial hyperplasia']"
HP:0005187,Progressive joint destruction,,[]
HP:0005190,Proximal finger joint hyperextensibility,,[]
HP:0005191,Congenital knee dislocation,,['Dislocated knee since birth']
HP:0005193,Restricted large joint movement,,[]
HP:0005194,Flattened metatarsal heads,Abnormally flat shape of the heads of the metatarsal bones.,['Flattened head of long bone of foot']
HP:0005195,Polyarticular arthropathy,,[]
HP:0005197,Generalized morning stiffness,A sensation of stiffness in the joints that occurs following waking up in the morning.,['Generalised morning stiffness']
HP:0005198,Stiff interphalangeal joints,Interphalangeal joint stiffness is a perceived sensation of tightness in the interphalangeal joints when attempting to move them after a period of inactivity.,['Stiff hinge joints']
HP:0005199,Aplasia of the abdominal wall musculature,Absence of the abdominal musculature.,['Absent abdominal musculature']
HP:0005200,Retroperitoneal fibrosis,,[]
HP:0005201,Anomalous splenoportal venous system,,[]
HP:0005202,Helicobacter pylori infection,"A recurrent infection of the GI tract with helicobacter pylori, a gram-negative, microaerophilic bacterium usually found in the stomach.",[]
HP:0005203,Spontaneous esophageal perforation,The occurrence of the full-thickness tear (perforation) of the wall of the esophagus.,"['Boerhaave syndrome', 'Spontaneous esophageal rupture']"
HP:0005206,Pancreatic pseudocyst,Cyst-like space not lined by epithelium and contained within the pancreas. Pancreatic pseudocysts are often associated with pancreatitis.,[]
HP:0005207,Gastric hypertrophy,Hypertrophy of the stomach.,['Increased stomach size']
HP:0005208,Secretory diarrhea,Watery voluminous diarrhea resulting from an imbalance between ion and water secretion and absorption.,['Secretory diarrhoea']
HP:0005209,Intrahepatic bile duct cysts,The presence of cyst of the intrahepatic bile duct.,[]
HP:0005210,Hypoplastic colon,Underdevelopment of the colon.,"['Underdeveloped colon', 'Hypoplasia of the colon']"
HP:0005211,Midgut malrotation,,[]
HP:0005212,Anal mucosal leukoplakia,"Leukoplakia is a precancerous dermatosis of mucous membranes analogous Leukoplakia is basically a chronic inflammatory hypertrophy in which anaplasia and malignant dyskeratosis may develop and subsequently advance to an invasive squamous cell cancer. The clinical diagnosis of primary anal leukoplakia is indicated by single or multiple slightly raised,irregular, marginated, grayish-white keratinized' patches in the anal canal. Tissue biopsy is necessary for confirmation.",[]
HP:0005213,Pancreatic calcification,The presence of abnormal calcium deposition lesions in the pancreas.,['Pancreatic calcifications']
HP:0005214,Intestinal obstruction,Blockage or impairment of the normal flow of the contents of the intestine towards the anal canal.,"['Bowel obstruction', 'Intestinal obstruction', 'Intestinal blockage']"
HP:0005215,Frequent Giardia lamblia infestation,"Increased susceptibility to Giardia lamblia infection of the intestine, as manifested by a medical history of multiple episodes of Giardia lamblia intestinal infection.",[]
HP:0005216,Impaired mastication,"An abnormal reduction in the ability to masticate (chew), i.e., in the ability to crush and ground food in preparation for swallowing.","['Chewing difficulty', 'Chewing difficulties', 'Difficulty chewing']"
HP:0005217,Abdominal organ duplication,"A congenital malformation characterized by the development of an additional organ or organ-like structure, i.e., an extra copy of the organ normally located in the abdomen.",[]
HP:0005218,Anoperineal fistula,The presence of a fistula (abnormal tunnel) between the anal canal and the perineum.,['Perianal fistula']
HP:0005219,Absence of intrinsic factor,"Absence of gastric intrinsic factor, which is normally produced by the parietal cells of the stomach, and is required for the absorption of vitamin B12.",['Intrinsic factor absent from gastric juice']
HP:0005220,Multiple intestinal neurofibromatosis,,[]
HP:0005222,Bowel diverticulosis,The presence of multiple diverticula of the intestine.,['Bowel diverticula']
HP:0005223,Duplicated colon,,[]
HP:0005224,Rectal abscess,A collection of pus in the area of the rectum.,['Perirectal abscess']
HP:0005225,Intestinal edema,"Accumulation of cell free, noninflammatony fluid within the wall of the intestinal tract producing uniform thickening of the mucosal folds.",['Intestinal oedema']
HP:0005227,Adenomatous colonic polyposis,Presence of multiple adenomatous polyps in the colon.,"['Multiple colonic adenomatous polyps', 'Multiple adenomatous colon polyps']"
HP:0005229,Jejunoileal ulceration,,[]
HP:0005230,Biliary tract obstruction,Obstruction affecting the biliary tree.,[]
HP:0005231,Chronic gastritis,A chronic form of gastritis.,[]
HP:0005232,Pancreatic dysplasia,The presence of developmental dysplasia of the pancreas.,[]
HP:0005233,Hypoplasia of the gallbladder,The presence of a hypoplastic gallbladder.,['Hypoplastic gallbladder']
HP:0005234,Neonatal intestinal obstruction,,[]
HP:0005235,Jejunal atresia,"A developmental defect resulting in abnormal closure, or atresia of the tubular structure of the jejunum.",[]
HP:0005236,Chronic calcifying pancreatitis,A form of chronic pancreatitis that is characterized by calcification.,[]
HP:0005237,Degenerative liver disease,The presence of degenerative changes of the liver.,[]
HP:0005238,Discrete intestinal polyps,,[]
HP:0005240,Esophageal obstruction,,[]
HP:0005241,Total intestinal aganglionosis,"A congenital defect characterized by the lack of ganglion cells in the entire intestine, i.e., the aganglionic segment comprises the entire large and small bowel.",[]
HP:0005242,Extrahepatic biliary duct atresia,Atresia in the extrahepatic bile duct.,"['Biliary atresia, extrahepatic']"
HP:0005243,Partial abdominal muscle agenesis,Failure to form of portions of the abdominal musculature.,[]
HP:0005244,Gastrointestinal infarctions,,"['Death of digestive organ tissue due to poor blood supply', 'GI infarctions']"
HP:0005245,Intestinal hypoplasia,Developmental hypoplasia of the intestine.,"['Hypoplastic intestines', 'Underdeveloped instestine']"
HP:0005246,Giant hypertrophic gastritis,A type of gastritis characterized by excessive proliferation of the gastric mucosa and diffuse thickening of the gastric mucosal folds.,['Menetrier disease']
HP:0005247,Hypoplasia of the abdominal wall musculature,Underdevelopment of the abdominal musculature.,['Abdominal muscular hypoplasia']
HP:0005248,Intrahepatic biliary atresia,Atresia in the intrahepatic bile duct.,"['Bile duct paucity', 'Intrahepatic atresia of biliary duct']"
HP:0005249,Functional intestinal obstruction,,[]
HP:0005250,High intestinal obstruction,,[]
HP:0005253,Increased anterioposterior diameter of thorax,,['Increased anterioposterior diameter of chest']
HP:0005254,Unilateral chest hypoplasia,,"['Small chest on one side', 'Underdeveloped chest on one side']"
HP:0008414,Lumbar kyphosis in infancy,,"['Hunched back in infancy', 'Round back in infancy']"
HP:0008416,Six lumbar vertebrae,,[]
HP:0008417,Vertebral hypoplasia,"Small, underdeveloped vertebral bodies.",['Underdeveloped vertebrae']
HP:0008418,Squared-off platyspondyly,,[]
HP:0008419,Intervertebral disk degeneration,The presence of degenerative changes of intervertebral disk.,"['Degeneration of intervertebral discs', 'Degenerative intervertebral disc', 'Degeneration of intervertebral disks', 'Degenerative disc disease', 'Degenerative disk disease', 'Degenerative intervertebral disk']"
HP:0008420,Punctate vertebral calcifications,The presence of punctiform calcification of the bone of the vertebral bodies.,[]
HP:0008421,Tall lumbar vertebral bodies,,[]
HP:0008422,Vertebral wedging,An abnormal shape of the vertebral bodies whereby the vertebral bodies are thick on one side and taper to a thin edge at the other.,"['Wedge-shaped vertebrae', 'anterior wedging', 'Wedged vertebrae']"
HP:0008423,Spinal dysplasia,The presence of developmental dysplasia of the vertebral column.,[]
HP:0008424,Hypoplastic 5th lumbar vertebrae,,['Underdeveloped 5th lumbar vertebrae']
HP:0008425,Cuboid-shaped thoracolumbar vertebral bodies,,[]
HP:0008428,Vertebral clefting,Schisis (cleft or cleavage) of vertebral bodies.,['Vertebral clefts']
HP:0008430,Anterior beaking of lumbar vertebrae,Anterior tongue-like protrusions of the vertebral bodies of the lumbar spine.,['Anterior tongue-like protrusion of lumbar vertebral bodies']
HP:0008432,Anterior wedging of L1,An abnormality of the shape of the lumbar vertebra L1 such that it is wedge-shaped (narrow towards the front).,[]
HP:0008433,Reversed usual vertebral column curves,,[]
HP:0008434,Hypoplastic cervical vertebrae,,"['Underdeveloped cervical vertebrae', 'Cervical vertebrae hypoplasia']"
HP:0008435,Absent in utero ossification of vertebral bodies,,[]
HP:0008436,Absent/hypoplastic coccyx,,"['Absent/small tailbone', 'Absent/underdeveloped tailbone']"
HP:0008437,Bifid thoracic vertebrae,,[]
HP:0008438,Vertebral arch anomaly,"A morphological abnormality of the vertebral arch, i.e., of the posterior part of a vertebra.",['Vertebral arch abnormalities']
HP:0008439,Lumbar hemivertebrae,Absence of one half of the vertebral body in the lumbar spine.,[]
HP:0008440,C1-C2 vertebral abnormality,Any abnormality of the atlas and the axis.,[]
HP:0008441,Herniation of intervertebral nuclei,The presence of one or more herniated nucleus pulposus of intervertebral disk.,"['Herniated intervertebral nuclei', 'Herniated disc', 'Herniated disk']"
HP:0008442,Vertebral hyperostosis,Excessive growth of the bones of the vertebral bodies.,[]
HP:0008443,Neuropathic spinal arthropathy,"A progressive disorder of vertebral joint degeneration that occurs in the setting of any condition characterized by decreased afferent innervation, involving loss of deep pain and proprioceptive sensation in the vertebral column. Patients most commonly present with symptoms of lower back pain, sitting imbalance, progressive spinal deformity (usually kyphosis), and an audible clicking sound on changing postures.","['Spinal neuroarthropathy', 'Charcot spinal arthropathy', 'Spinal deformities']"
HP:0008444,Posterior wedging of vertebral bodies,"An abnormality of the shape of vertebrae, such that they are wedge-shaped (narrow towards the back).",['Posterior wedging']
HP:0008445,Cervical spinal canal stenosis,An abnormal narrowing of the cervical spinal canal.,['Narrow cervical spinal canal']
HP:0008447,Hypoplastic coccygeal vertebrae,,[]
HP:0008449,Progressive cervical vertebral spine fusion,,[]
HP:0008450,Narrow vertebral interpedicular distance,"A reduction of the distance between vertebral pedicles, which are the two short, thick processes, which project backward, one on either side, from the upper part of the vertebral body, at the junction of its posterior and lateral surfaces.","['Narrowing of interpediculate distances', 'Interpedicular narrowing', 'Narrow interpedicular space', 'Narrow interpediculate distances']"
HP:0008451,Posterior vertebral hypoplasia,,[]
HP:0008452,Wafer-thin platyspondyly,,[]
HP:0008453,Congenital kyphoscoliosis,,[]
HP:0008454,Lumbar kyphosis,Over curvature of the lumbar region.,"['Lumbar gibbus deformity', 'Rounded lower back']"
HP:0008455,Dysplastic sacrum,"A developmental defect of the sacrum characterized by partial or disordered development of the sacrum in which portions of the sacrum, which normally is formed by fusion of five sacral vertebrae S1-S5, fail to form or fail to form normally.","['Partial sacral agenesis', 'Sacral dysgenesis', 'Absence of some of the sacral and coccygeal bones']"
HP:0008456,C2-C3 subluxation,A partial dislocation of the intervertebral joint between the second and third cervical vertebrae.,[]
HP:0008457,Caudal interpedicular narrowing,"Narrowing (becoming gradually narrower) of the distance between vertebral pedicles that gets progressively more severe towards to caudal (lower) end of the vertebral column. Note that normally, the interpedicular distances get progressively wider as one proceeds down the spine.",['Caudal narrowing of interpedicular distances']
HP:0008458,Progressive congenital scoliosis,A progressive form of scoliosis with congenital onset.,[]
HP:0008459,Cervical vertebral agenesis,Agenesis of one or more vertebrae of the cervical vertebral column.,"['Missing cervical vertebrae', 'Cervical vertebrae agenesis']"
HP:0008460,Hypoplastic spinal processes,,['Underdeveloped spinal processes']
HP:0008461,Cervical vertebral facet hypoplasia,,[]
HP:0008462,Cervical instability,,[]
HP:0008463,Central vertebral hypoplasia,,[]
HP:0008464,Absent spinous processes of lower thoracic and lumbar vertebrae,,[]
HP:0008465,Absent vertebra,A developmental defect characterized by agenesis of one or more vertebral bodies.,['Absent vertebrae']
HP:0008467,Thoracic hemivertebrae,Absence of one half of the vertebral body in the thoracic spine.,['Midthoracic hemivertebrae']
HP:0008468,Abnormal sacral segmentation,An abnormality related to a defect of vertebral separation of sacral vertebrae during development.,[]
HP:0008469,Cervical vertebral dysplasia,Dysplasia of the cervical vertebral column.,[]
HP:0008470,Lower thoracic interpediculate narrowness,A reduction of the distance between the lower thoracic vertebral pedicles.,['Narrowness of interpediculate distances in lower thoracic regions']
HP:0008472,Prominent protruding coccyx,,"['Large tailbone', 'Prominent protruding tailbone']"
HP:0008473,Narrow anterio-posterior vertebral body diameter,An abnormal reduction of the anterioposterior diameter of the vertebral body.,"['Reduced anterior-posterior diameter of vertebral bodies', 'Reduced sagittal diameter of vertebrae']"
HP:0008475,Hypoplastic sacral vertebrae,,[]
HP:0008476,Irregular sclerotic endplates,,"['irregular, dense end plate']"
HP:0008477,Poorly ossified cervical vertebrae,"Decreased ossification of the cervical vertebral bodies, i.e., of the Cervical vertebrae set.",[]
HP:0008478,Scheuermann-like vertebral changes,,[]
HP:0008479,Hypoplastic vertebral bodies,,"['Small vertebral bodies', 'Underdeveloped back bones', 'Small vertebrae']"
HP:0008480,Cervical spondylosis,"Arthrosis, i.e., of degenerative joint disease, affecting the cervical vertebral column.","['Cervical spine degeneration', 'Neck arthritis', 'Cervical osteoarthritis']"
HP:0008482,Asymmetry of spinal facet joints,,[]
HP:0008483,Cervical vertebral bodies with decreased anteroposterior diameter,,[]
HP:0008484,Thoracolumbar interpediculate narrowness,A reduction of the distance between thoracolumbar vertebral pedicles.,['Narrow thoracolumbar interpediculate distance']
HP:0008486,Lumbar interpedicular narrowing,Narrowing (becoming gradually narrower) of the distance between lumbar vertebral pedicles that gets progressively more severe towards to caudal (lower) end of the vertebral column.,['Decreasing lumbar vertebrae interpediculate distance']
HP:0008488,Anterior rounding of vertebral bodies,,[]
HP:0008489,Spondylolisthesis at L5-S1,Complete bilateral fractures of the pars interarticularis resulting in the anterior slippage of the fifth lumbar vertebral body (L5) onto the sacrum (level S1).,['Spondylolysis and spondylolisthesis of l5']
HP:0008490,Sacral segmentation defect,,[]
HP:0008491,Premature anterior fontanel closure,"Early closure (ossification) of the anterior fontanelle, which generally undergoes closure around the 18th month of life.",[]
HP:0008494,Inferior lens subluxation,Partial displacement of the lens in the inferior direction.,['Inferior subluxated lens']
HP:0008496,Multiple rows of eyelashes,,"['Two rows of eyelashes', 'Multiple rows of eyelashes', 'Double row of eyelashes', 'Extra rows of eyelashes']"
HP:0008497,Congenital craniofacial dysostosis,,[]
HP:0008498,obsolete No permanent dentition,,[]
