id,name,definition,synonyms
HP:0000046,Small scrotum,Apparently small scrotum for age.,"['Scrotal hypoplasia', 'Underdeveloped scrotum', 'Smaller than typical growth of scrotum', 'Hypoplastic scrotum']"
HP:0000047,Hypospadias,"Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.",['Hypospadia']
HP:0000048,Bifid scrotum,Midline indentation or cleft of the scrotum.,"['Cleft of scrotum', 'Scrotal cleft']"
HP:0000049,Shawl scrotum,Superior margin of the scrotum superior to the base of the penis.,"['Overriding scrotum', 'Scrotum surrounds penis']"
HP:0000050,Hypoplastic male external genitalia,"Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).","['Small male external genitalia', 'Hypoplastic male genitalia', 'Underdeveloped male genitalia']"
HP:0000051,Perineal hypospadias,Hypospadias with location of the urethral meatus in the perineal region.,[]
HP:0000052,"Urethral atresia, male",Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.,[]
HP:0000053,Macroorchidism,The presence of abnormally large testes.,"['Large testis', 'Large testicles']"
HP:0000054,Micropenis,"Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.","['Small penis', 'Short penis']"
HP:0000055,Abnormal female external genitalia morphology,Any structural abnormality of the female external genitalia.,"['Abnormality of female external genitalia', 'Abnormal female external genitalia']"
HP:0000056,Abnormal clitoris morphology,Any structural abnormality of the clitoris.,"['Abnormality of the clit', 'Abnormality of the clitoris']"
HP:0000057,obsolete Clitoromegaly,,[]
HP:0000058,Abnormal labia morphology,"An anomaly of the labia, the externally visible portions of the vulva.",['Abnormality of the labia']
HP:0000059,Hypoplastic labia majora,Undergrowth of the outer labia.,"['Small labia majora', 'Underdeveloped vaginal lips', 'Hypoplasia of labia majora']"
HP:0000060,Clitoral hypoplasia,Developmental hypoplasia of the clitoris.,"['Underdeveloped clit', 'Small clitoris', 'Hypoplastic clitoris']"
HP:0000061,"Ambiguous genitalia, female",Ambiguous genitalia in an individual with XX genetic gender.,"['Atypical appearance of female genitals', 'Ambiguous genitalia due to virilization']"
HP:0000062,Ambiguous genitalia,A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.,"['Intersex genitalia', 'Ambiguous external genitalia', 'Ambiguous external genitalia at birth']"
HP:0000063,Fused labia minora,Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.,['Fused inner lips']
HP:0000064,Hypoplastic labia minora,,['Underdeveloped inner lips']
HP:0000065,Labial hypertrophy,,"['Enlarged vaginal lips', 'Enlargement of the vaginal lips', 'Enlargement of the labia']"
HP:0000066,Labial hypoplasia,,"['Hypoplastic labia', 'Underdeveloped labia']"
HP:0000067,"Urethral atresia, female",Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.,[]
HP:0000068,Urethral atresia,Congenital anomaly characterized by closure or failure to develop an opening in the urethra.,"['Absent urethral opening', 'Urethral opening absent']"
HP:0000069,Abnormality of the ureter,An abnormality of the ureter. The ureter is the duct by which urine passes from the kidney to the bladder.,"['Ureteral anomalies', 'Abnormality of the ureters', 'Ureter issue']"
HP:0000070,Ureterocele,A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.,[]
HP:0000071,Ureteral stenosis,"The presence of a stenotic, i.e., constricted ureter.","['Ureteric stenosis', 'Narrowing of the ureter']"
HP:0000072,Hydroureter,The distention of the ureter with urine.,"['Dilated ureter', 'Uroureter', 'Wide ureter', 'Megaureter', 'Swelling of ureter', 'Ureteral dilatation']"
HP:0000073,Ureteral duplication,"A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder.",['Double ureter']
HP:0000074,Ureteropelvic junction obstruction,Blockage of urine flow from the renal pelvis to the proximal ureter.,"['Ureteropelvic junction stenosis', 'Pelviureteric junction obstruction']"
HP:0000075,Renal duplication,"A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters.","['Supernumerary kidney', 'Extra kidney']"
HP:0000076,Vesicoureteral reflux,Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.,"['Ureteral reflux', 'Ureteric reflux', 'Vesicoureteric reflux', 'Vesico-ureteral reflux', 'VUR']"
